Name;Temp;Mass;Day;Intensity
1;15;45;1;3.01E-02
2;25;45;1;2.94E-02
3;30;45;1;2.50E-02
4;15;45;4;1.70E-02
5;25;45;4;1.49E-02
6;30;45;4;3.23E-02
7;15;45;6;1.24E-02
8;25;45;6;2.32E-02
9;25;45;6;2.96E-02
10;30;45;6;2.41E-02
11;15;45;11;3.52E-02
12;25;45;11;2.41E-02
13;30;45;11;2.97E-02
14;15;45;13;2.43E-02
15;25;45;13;1.57E-02
16;30;45;13;1.90E-02
17;15;45;15;1.22E-02
18;25;45;15;2.07E-02
19;30;45;15;3.60E-02
20;15;45;18;3.26E-02
21;25;45;18;2.57E-02
22;30;45;18;2.99E-02
23;15;45;20;3.61E-02
24;25;45;20;2.14E-02
25;30;45;20;3.08E-02
26;15;45;22;2.39E-02
27;25;45;22;1.57E-02
28;25;45;25;1.53E-02
29;15;45;25;4.01E-02
30;30;45;25;3.54E-02
31;15;45;27;3.23E-02
32;25;45;27;4.06E-02
33;30;45;27;3.67E-02
34;15;45;29;2.80E-02
35;25;45;29;2.29E-02
36;15;45;33;-7.31E-03
37;25;45;33;2.44E-02
38;30;45;33;1.85E-02
39;15;57;1;9.08E-05
40;25;57;1;9.38E-05
41;30;57;1;1.09E-04
42;15;57;4;2.20E-04
43;25;57;4;2.42E-04
44;30;57;4;1.25E-04
45;15;57;6;5.27E-04
46;25;57;6;2.36E-04
47;25;57;6;1.73E-04
48;30;57;6;2.03E-04
49;15;57;11;2.55E-04
50;25;57;11;2.05E-04
51;30;57;11;1.84E-04
52;15;57;13;2.71E-04
53;25;57;13;3.70E-04
54;30;57;13;1.89E-04
55;15;57;15;4.21E-04
56;25;57;15;2.75E-04
57;30;57;15;1.53E-04
58;15;57;18;2.40E-04
59;25;57;18;2.33E-04
60;30;57;18;9.81E-05
61;15;57;20;1.71E-04
62;25;57;20;2.28E-04
63;30;57;20;1.52E-04
64;15;57;22;1.36E-04
65;25;57;22;5.31E-05
66;25;57;25;4.68E-04
67;15;57;25;2.30E-04
68;30;57;25;2.05E-04
69;15;57;27;1.95E-04
70;25;57;27;2.32E-04
71;30;57;27;1.63E-04
72;15;57;29;1.12E-04
73;25;57;29;3.41E-04
74;15;57;33;6.30E-04
75;25;57;33;2.94E-04
76;30;57;33;8.37E-05
77;15;60;1;3.51E-04
78;25;60;1;4.51E-04
79;30;60;1;6.89E-04
80;15;60;4;1.04E-03
81;25;60;4;1.50E-03
82;30;60;4;7.69E-04
83;15;60;6;1.95E-03
84;25;60;6;1.44E-03
85;25;60;6;1.15E-03
86;30;60;6;1.21E-03
87;15;60;11;1.03E-03
88;25;60;11;1.22E-03
89;30;60;11;1.01E-03
90;15;60;13;1.17E-03
91;25;60;13;2.19E-03
92;30;60;13;1.29E-03
93;15;60;15;1.76E-03
94;25;60;15;1.64E-03
95;30;60;15;9.59E-04
96;15;60;18;1.16E-03
97;25;60;18;1.36E-03
98;30;60;18;5.75E-04
99;15;60;20;1.11E-03
100;25;60;20;1.48E-03
101;30;60;20;9.16E-04
102;15;60;22;4.16E-04
103;25;60;22;3.48E-04
104;25;60;25;2.45E-03
105;15;60;25;1.06E-03
106;30;60;25;1.11E-03
107;15;60;27;1.12E-03
108;25;60;27;1.21E-03
109;30;60;27;9.92E-04
110;15;60;29;5.50E-04
111;25;60;29;1.78E-03
112;15;60;33;2.55E-03
113;25;60;33;1.53E-03
114;30;60;33;3.91E-04
115;15;74;1;1.27E-04
116;25;74;1;1.12E-04
117;30;74;1;1.91E-04
118;15;74;4;2.34E-04
119;25;74;4;3.87E-04
120;30;74;4;2.13E-04
121;15;74;6;6.09E-04
122;25;74;6;3.95E-04
123;25;74;6;2.64E-04
124;30;74;6;2.19E-04
125;15;74;11;2.72E-04
126;25;74;11;2.79E-04
127;30;74;11;2.15E-04
128;15;74;13;3.43E-04
129;25;74;13;6.02E-04
130;30;74;13;3.09E-04
131;15;74;15;4.76E-04
132;25;74;15;4.22E-04
133;30;74;15;2.04E-04
134;15;74;18;2.86E-04
135;25;74;18;3.10E-04
136;30;74;18;1.13E-04
137;15;74;20;2.84E-04
138;25;74;20;3.34E-04
139;30;74;20;1.87E-04
140;15;74;22;1.76E-04
141;25;74;22;8.31E-05
142;25;74;25;7.21E-04
143;15;74;25;3.05E-04
144;30;74;25;2.08E-04
145;15;74;27;3.31E-04
146;25;74;27;3.60E-04
147;30;74;27;2.01E-04
148;15;74;29;1.71E-04
149;25;74;29;5.58E-04
150;15;74;33;7.74E-04
151;25;74;33;3.77E-04
152;30;74;33;7.15E-05
