,Plate_num,Fruit_num,Sepal_num,variety,present_pgm,severity_pgm,present_average,severity_average,Date,0/123 labels,01/23 labels,0.5/123 labels
0,1,1,1,Provine,1,2,1,2,20220512,1,1,1
1,1,1,2,Provine,1,1,1,1,20220512,1,0,1
2,1,1,3,Provine,1,1,1,1,20220512,1,0,1
3,1,1,4,Provine,1,2,1,2,20220512,1,1,1
4,1,1,5,Provine,1,1,1,1,20220512,1,0,1
5,1,2,1,Provine,1,2,1,2,20220512,1,1,1
6,1,2,2,Provine,1,2,1,2,20220512,1,1,1
7,1,2,3,Provine,1,2,1,2,20220512,1,1,1
8,1,2,4,Provine,1,2,1,2,20220512,1,1,1
9,1,2,5,Provine,1,1,"0,5","0,5",20220512,1,0,0
10,1,3,1,Provine,1,1,1,1,20220512,1,0,1
11,1,3,2,Provine,1,1,1,1,20220512,1,0,1
12,1,3,3,Provine,1,2,1,2,20220512,1,1,1
13,1,3,4,Provine,1,2,1,2,20220512,1,1,1
14,1,3,5,Provine,1,1,1,"1,5",20220512,1,0,1
15,1,4,1,Provine,1,1,1,1,20220512,1,0,1
16,1,4,2,Provine,1,1,"0,5","0,5",20220512,1,0,0
17,1,4,3,Provine,1,1,1,1,20220512,1,0,1
18,1,4,4,Provine,1,2,1,2,20220512,1,1,1
19,1,4,5,Provine,1,2,1,2,20220512,1,1,1
20,1,5,1,Provine,0,0,0,0,20220512,0,0,0
21,1,5,2,Provine,1,1,1,1,20220512,1,0,1
22,1,5,3,Provine,1,1,1,1,20220512,1,0,1
23,1,5,4,Provine,1,1,1,1,20220512,1,0,1
24,1,5,5,Provine,1,1,"0,5","0,5",20220512,1,0,0
25,1,6,1,Provine,1,1,1,1,20220512,1,0,1
26,1,6,2,Provine,1,1,"0,5","0,5",20220512,1,0,0
27,1,6,3,Provine,1,1,1,1,20220512,1,0,1
28,1,6,4,Provine,1,1,1,1,20220512,1,0,1
29,1,6,5,Provine,1,1,1,1,20220512,1,0,1
30,1,7,1,Provine,1,2,1,2,20220512,1,1,1
31,1,7,2,Provine,1,2,1,"1,5",20220512,1,1,1
32,1,7,3,Provine,1,1,"0,5","0,5",20220512,1,0,0
33,1,7,4,Provine,1,1,1,1,20220512,1,0,1
34,1,7,5,Provine,1,2,1,2,20220512,1,1,1
35,1,8,1,Provine,0,0,0,0,20220512,0,0,0
36,1,8,2,Provine,1,1,1,1,20220512,1,0,1
37,1,8,3,Provine,1,1,1,1,20220512,1,0,1
38,1,8,4,Provine,1,3,1,3,20220512,1,1,1
39,1,8,5,Provine,1,2,1,2,20220512,1,1,1
40,1,9,1,Provine,1,1,1,"1,5",20220512,1,0,1
41,1,9,2,Provine,1,2,1,2,20220512,1,1,1
42,1,9,3,Provine,1,1,1,1,20220512,1,0,1
43,1,9,4,Provine,1,1,1,1,20220512,1,0,1
44,1,9,5,Provine,0,0,0,0,20220512,0,0,0
45,1,10,1,Provine,1,1,"0,5","0,5",20220512,1,0,0
46,1,10,2,Provine,1,1,1,1,20220512,1,0,1
47,1,10,3,Provine,1,2,1,2,20220512,1,1,1
48,1,10,4,Provine,0,0,"0,5","0,5",20220512,0,0,0
49,1,10,5,Provine,1,1,1,"1,5",20220512,1,0,1
50,1,10,6,Provine,1,1,1,1,20220512,1,0,1
51,1,11,1,Provine,1,2,1,2,20220512,1,1,1
52,1,11,2,Provine,0,0,0,0,20220512,0,0,0
53,1,11,3,Provine,1,2,1,2,20220512,1,1,1
54,1,11,4,Provine,1,1,1,1,20220512,1,0,1
55,1,11,5,Provine,1,1,1,1,20220512,1,0,1
56,1,12,1,Provine,1,2,1,"1,5",20220512,1,1,1
57,1,12,2,Provine,1,2,1,"1,5",20220512,1,1,1
58,1,12,3,Provine,1,2,1,2,20220512,1,1,1
59,1,12,4,Provine,1,1,1,1,20220512,1,0,1
60,1,12,5,Provine,1,1,1,1,20220512,1,0,1
61,1,12,6,Provine,1,1,1,1,20220512,1,0,1
62,1,13,1,Provine,1,1,1,1,20220512,1,0,1
63,1,13,2,Provine,1,1,1,1,20220512,1,0,1
64,1,13,3,Provine,1,1,"0,5","0,5",20220512,1,0,0
65,1,13,4,Provine,0,0,0,0,20220512,0,0,0
66,1,13,5,Provine,1,1,1,1,20220512,1,0,1
67,1,13,6,Provine,0,0,"0,5","0,5",20220512,0,0,0
68,1,14,1,Provine,1,1,1,1,20220512,1,0,1
69,1,14,2,Provine,1,2,1,"1,5",20220512,1,1,1
70,1,14,3,Provine,1,2,1,2,20220512,1,1,1
71,1,14,4,Provine,1,2,1,"2,5",20220512,1,1,1
72,1,14,5,Provine,1,2,1,2,20220512,1,1,1
73,1,15,1,Provine,1,1,1,1,20220512,1,0,1
74,1,15,2,Provine,1,1,1,1,20220512,1,0,1
75,1,15,3,Provine,1,1,1,1,20220512,1,0,1
76,1,15,4,Provine,1,2,1,2,20220512,1,1,1
77,1,15,5,Provine,1,1,1,1,20220512,1,0,1
78,1,16,1,Provine,1,1,1,1,20220512,1,0,1
79,1,16,2,Provine,1,2,1,2,20220512,1,1,1
80,1,16,3,Provine,1,2,1,2,20220512,1,1,1
81,1,16,4,Provine,1,2,1,"2,5",20220512,1,1,1
82,1,16,5,Provine,1,2,1,2,20220512,1,1,1
83,2,1,1,Provine,1,2,1,2,20220512,1,1,1
