Sample;Date;Day;Temp;45;57;60;74
sample day 0_5;11/15/2023;1;day0;4.27E-02;4.50E-04;9.61E-04;1.81E-04
sample day 0_4;11/15/2023;1;day0;1.97E-02;2.27E-04;6.08E-04;1.02E-04
sample day 0_3;11/15/2023;1;day0;4.59E-02;4.41E-04;1.22E-03;2.06E-04
sample day 0_2;11/15/2023;1;day0;4.54E-02;3.93E-04;1.14E-03;1.64E-04
sample day 0_(1);11/15/2023;1;day0;4.65E-02;3.58E-04;1.17E-03;2.28E-04
2023-11-17_15C (1);11/17/2023;3;15;3.01E-02;9.08E-05;3.51E-04;1.27E-04
2023-11-17_15C (2);11/17/2023;3;15;3.10E-02;1.09E-04;4.60E-04;1.27E-04
2023-11-17_15C (3);11/17/2023;3;15;2.77E-02;6.89E-05;3.53E-04;1.05E-04
2023-11-17_15C (4);11/17/2023;3;15;2.51E-02;5.99E-05;3.51E-04;9.26E-05
2023-11-17_15C (5);11/17/2023;3;15;2.80E-02;6.66E-05;3.66E-04;1.08E-04
2023-11-17_25C (1);11/17/2023;3;25;2.94E-02;9.38E-05;4.51E-04;1.12E-04
2023-11-17_25C (2);11/17/2023;3;25;2.81E-02;8.31E-05;3.94E-04;9.67E-05
2023-11-17_25C (3);11/17/2023;3;25;2.87E-02;8.15E-05;3.89E-04;1.10E-04
2023-11-17_25C (4);11/17/2023;3;25;2.99E-02;9.02E-05;4.53E-04;1.20E-04
2023-11-17_25C (5);11/17/2023;3;25;2.43E-02;1.23E-04;7.95E-04;1.82E-04
2023-11-17_30C (1);11/17/2023;3;30;2.50E-02;1.09E-04;6.89E-04;1.91E-04
2023-11-17_30C (2);11/17/2023;3;30;1.45E-02;2.01E-04;1.05E-03;2.51E-04
2023-11-17_30C (3);11/17/2023;3;30;1.92E-02;1.44E-04;8.74E-04;1.94E-04
2023-11-17_30C (4);11/17/2023;3;30;2.20E-02;9.77E-05;6.19E-04;1.46E-04
20-11-2023_15C (1);11/20/2023;6;15;1.70E-02;2.20E-04;1.04E-03;2.34E-04
20-11-2023_15C (2);11/20/2023;6;15;2.54E-02;2.18E-04;1.02E-03;2.16E-04
20-11-2023_15C (3);11/20/2023;6;15;2.90E-02;2.35E-04;1.03E-03;2.58E-04
20-22-2023_15C (3);11/20/2023;6;15;1.11E-02;4.17E-04;1.99E-03;4.92E-04
20-22-2023_15C (5);11/20/2023;6;15;1.33E-02;4.49E-04;1.98E-03;5.26E-04
20-22-2023_25C (1);11/20/2023;6;25;1.49E-02;2.42E-04;1.50E-03;3.87E-04
20-22-2023_25C (2);11/20/2023;6;25;1.58E-02;1.89E-04;1.05E-03;3.40E-04
20-22-2023_25C (3);11/20/2023;6;25;1.69E-02;2.62E-04;1.22E-03;3.58E-04
20-22-2023_25C (5);11/20/2023;6;25;1.44E-02;1.94E-04;8.91E-04;1.77E-04
20-22-2023_25C (4);11/20/2023;6;25;2.45E-02;1.12E-04;7.05E-04;1.91E-04
20-22-2023_30C (1);11/20/2023;6;30;3.23E-02;1.25E-04;7.69E-04;2.13E-04
20-22-2023_30C (2);11/20/2023;6;30;2.75E-02;1.62E-04;8.91E-04;2.84E-04
20-22-2023_30C (3);11/20/2023;6;30;2.68E-02;1.47E-04;7.54E-04;2.29E-04
20-22-2023_30C (4);11/20/2023;6;30;3.17E-02;1.14E-04;6.94E-04;1.46E-04
22-11-2023_15C (1);11/22/2023;8;15;1.24E-02;5.27E-04;1.95E-03;6.09E-04
22-11-2023_15C (2);11/22/2023;8;15;1.30E-02;5.69E-04;2.56E-03;5.94E-04
22-11-2023_15C (3);11/22/2023;8;15;3.71E-02;2.39E-04;1.34E-03;2.73E-04
