;Glucide;Protein;;Vetten;;Vetten, SNV + SD (2,17,20;
r2PLS;0.094;r2PLS;0.816;r2PLS;0.824;r2PLS;0.884
msepPLS;0.192;msepPLS;7.162;msepPLS;8.686;msepPLS;5.747
sepPLS;0.426;sepPLS;2.661;sepPLS;2.939;sepPLS;2.364
biasPLS;-0.103;biasPLS;0.284;biasPLS;-0.219;biasPLS;0.396
rmsepPLS;0.438;rmsepPLS;2.676;rmsepPLS;2.947;rmsepPLS;2.397
r2PLS1;0.065;r2PLS1;0.836;r2PLS1;0.848;r2PLS1;0.898
msepPLS1;0.198;msepPLS1;6.385;msepPLS1;7.520;msepPLS1;5.028
sepPLS1;0.433;sepPLS1;2.472;sepPLS1;2.731;sepPLS1;2.200
biasPLS1;-0.101;biasPLS1;0.525;biasPLS1;-0.253;biasPLS1;0.436
rmsepPLS1;0.445;rmsepPLS1;2.527;rmsepPLS1;2.742;rmsepPLS1;2.242
r2PLS2;0.104;r2PLS2;0.884;r2PLS2;0.864;r2PLS2;0.895
msepPLS2;0.190;msepPLS2;4.526;msepPLS2;6.694;msepPLS2;5.174
sepPLS2;0.425;sepPLS2;2.086;sepPLS2;2.584;sepPLS2;2.237
biasPLS2;-0.095;biasPLS2;0.415;biasPLS2;-0.131;biasPLS2;0.411
rmsepPLS2;0.436;rmsepPLS2;2.127;rmsepPLS2;2.587;rmsepPLS2;2.275
r2PLS3;0.104;r2PLS3;0.887;r2PLS3;0.886;r2PLS3;0.899
msepPLS3;0.190;msepPLS3;4.381;msepPLS3;5.644;msepPLS3;5.000
sepPLS3;0.426;sepPLS3;2.073;sepPLS3;2.356;sepPLS3;2.171
biasPLS3;-0.091;biasPLS3;0.290;biasPLS3;0.310;biasPLS3;0.534
rmsepPLS3;0.436;rmsepPLS3;2.093;rmsepPLS3;2.376;rmsepPLS3;2.236
r2PLS4;0.123;r2PLS4;0.921;r2PLS4;0.886;r2PLS4;0.909
msepPLS4;0.186;msepPLS4;3.080;msepPLS4;5.607;msepPLS4;4.502
sepPLS4;0.418;sepPLS4;1.750;sepPLS4;2.344;sepPLS4;2.032
biasPLS4;-0.103;biasPLS4;0.131;biasPLS4;0.339;biasPLS4;0.611
rmsepPLS4;0.431;rmsepPLS4;1.755;rmsepPLS4;2.368;rmsepPLS4;2.122
r2PLS5;0.158;r2PLS5;0.927;r2PLS5;0.867;r2PLS5;0.923
msepPLS5;0.178;msepPLS5;2.823;msepPLS5;6.568;msepPLS5;3.793
sepPLS5;0.412;sepPLS5;1.676;sepPLS5;2.498;sepPLS5;1.872
biasPLS5;-0.095;biasPLS5;0.124;biasPLS5;0.571;biasPLS5;0.539
rmsepPLS5;0.422;rmsepPLS5;1.680;rmsepPLS5;2.563;rmsepPLS5;1.948
r2PLS6;0.192;r2PLS6;0.944;r2PLS6;0.853;r2PLS6;0.921
msepPLS6;0.171;msepPLS6;2.173;msepPLS6;7.236;msepPLS6;3.903
sepPLS6;0.401;sepPLS6;1.459;sepPLS6;2.624;sepPLS6;1.902
biasPLS6;-0.102;biasPLS6;0.210;biasPLS6;0.590;biasPLS6;0.535
rmsepPLS6;0.414;rmsepPLS6;1.474;rmsepPLS6;2.690;rmsepPLS6;1.976
r2PLS7;0.177;r2PLS7;0.930;r2PLS7;0.866;r2PLS7;0.915
msepPLS7;0.174;msepPLS7;2.712;msepPLS7;6.592;msepPLS7;4.187
sepPLS7;0.403;sepPLS7;1.623;sepPLS7;2.500;sepPLS7;1.953
biasPLS7;-0.108;biasPLS7;0.281;biasPLS7;0.586;biasPLS7;0.611
rmsepPLS7;0.418;rmsepPLS7;1.647;rmsepPLS7;2.567;rmsepPLS7;2.046
r2PLS8;0.273;r2PLS8;0.929;r2PLS8;0.872;r2PLS8;0.920
msepPLS8;0.154;msepPLS8;2.747;msepPLS8;6.308;msepPLS8;3.927
sepPLS8;0.387;sepPLS8;1.650;sepPLS8;2.417;sepPLS8;1.878
biasPLS8;-0.066;biasPLS8;0.155;biasPLS8;0.682;biasPLS8;0.633
rmsepPLS8;0.392;rmsepPLS8;1.657;rmsepPLS8;2.512;rmsepPLS8;1.982
r2PLS9;0.324;r2PLS9;0.930;r2PLS9;0.872;r2PLS9;0.919
msepPLS9;0.143;msepPLS9;2.716;msepPLS9;6.341;msepPLS9;4.005
sepPLS9;0.374;sepPLS9;1.644;sepPLS9;2.378;sepPLS9;1.893
biasPLS9;-0.056;biasPLS9;0.110;biasPLS9;0.828;biasPLS9;0.649
rmsepPLS9;0.378;rmsepPLS9;1.648;rmsepPLS9;2.518;rmsepPLS9;2.001
r2PLS10;0.393;r2PLS10;0.913;r2PLS10;0.867;r2PLS10;0.934
msepPLS10;0.128;msepPLS10;3.372;msepPLS10;6.581;msepPLS10;3.259
sepPLS10;0.355;sepPLS10;1.808;sepPLS10;2.398;sepPLS10;1.730
biasPLS10;-0.051;biasPLS10;0.322;biasPLS10;0.911;biasPLS10;0.516
rmsepPLS10;0.358;rmsepPLS10;1.836;rmsepPLS10;2.565;rmsepPLS10;1.805
r2PLS11;0.523;r2PLS11;0.915;r2PLS11;0.863;r2PLS11;0.932
msepPLS11;0.101;msepPLS11;3.313;msepPLS11;6.745;msepPLS11;3.355
sepPLS11;0.318;sepPLS11;1.787;sepPLS11;2.435;sepPLS11;1.756
biasPLS11;-0.006;biasPLS11;0.345;biasPLS11;0.903;biasPLS11;0.523
rmsepPLS11;0.318;rmsepPLS11;1.820;rmsepPLS11;2.597;rmsepPLS11;1.832
r2PLS12;0.513;r2PLS12;0.916;r2PLS12;0.854;r2PLS12;0.934
msepPLS12;0.103;msepPLS12;3.251;msepPLS12;7.186;msepPLS12;3.280
sepPLS12;0.321;sepPLS12;1.760;sepPLS12;2.487;sepPLS12;1.749
biasPLS12;-0.011;biasPLS12;0.392;biasPLS12;1.000;biasPLS12;0.470
rmsepPLS12;0.321;rmsepPLS12;1.803;rmsepPLS12;2.681;rmsepPLS12;1.811
r2PLS13;0.434;r2PLS13;0.903;r2PLS13;0.845;r2PLS13;0.930
msepPLS13;0.120;msepPLS13;3.786;msepPLS13;7.650;msepPLS13;3.453
sepPLS13;0.345;sepPLS13;1.888;sepPLS13;2.638;sepPLS13;1.789
biasPLS13;-0.032;biasPLS13;0.471;biasPLS13;0.832;biasPLS13;0.502
rmsepPLS13;0.346;rmsepPLS13;1.946;rmsepPLS13;2.766;rmsepPLS13;1.858
r2PLS14;0.410;r2PLS14;0.913;r2PLS14;0.859;r2PLS14;0.932
msepPLS14;0.125;msepPLS14;3.382;msepPLS14;6.965;msepPLS14;3.360
sepPLS14;0.352;sepPLS14;1.798;sepPLS14;2.552;sepPLS14;1.785
biasPLS14;-0.033;biasPLS14;0.384;biasPLS14;0.671;biasPLS14;0.418
rmsepPLS14;0.354;rmsepPLS14;1.839;rmsepPLS14;2.639;rmsepPLS14;1.833
r2PLS15;0.385;r2PLS15;0.917;r2PLS15;0.857;r2PLS15;0.929
msepPLS15;0.130;msepPLS15;3.221;msepPLS15;7.040;msepPLS15;3.514
sepPLS15;0.359;sepPLS15;1.759;sepPLS15;2.554;sepPLS15;1.825
biasPLS15;-0.042;biasPLS15;0.358;biasPLS15;0.720;biasPLS15;0.429
